"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YUHXPE2X","journalArticle","2021","Grumbine, R.E.; Xu, J.","Five steps to inject transformative change into the Post-2020 Global Biodiversity Framework","BioScience","","","10.1093/biosci/biab013","","","2021","2023-10-06 06:17:40","2023-10-06 06:17:43","","637–646","","6","71","","","","","","","","","","en","","","","","","","Citation Key: grumbine2021a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/B6BJA4FK/Grumbine and Xu - 2021 - Five steps to inject transformative change into th.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I7VPAYKV","journalArticle","2021","Hysing, E.; Lidskog, R.","Do conceptual innovations facilitate transformative change? The case of biodiversity governance","Frontiers in Ecology and Evolution","","","10.3389/fevo.2020.612211","","","2021","2023-10-06 06:17:40","2023-10-06 06:17:42","","612211","","","8","","","","","","","","","","en","","","","","","","Citation Key: hysing2021a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/UWWJZ8Z4/Hysing and Lidskog - 2021 - Do conceptual innovations facilitate transformativ.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEL6XTEZ","journalArticle","2023","Lenzi, D.; Balvanera, P.; Arias-Arévalo, P.; Eser, U.; Guibrunet, L.; Martin, A.; Pascual, U.","Justice, sustainability, and the diverse values of nature: why they matter for biodiversity conservation","Current Opinion in Environmental Sustainability","","","10.1016/j.cosust.2023.101353","","","2023","2023-10-06 06:17:40","2023-10-06 06:17:43","","101353","","","64","","","","","","","","","","en","","","","","","","Citation Key: lenzi2023a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7IRP6JEA","document","2020","Lundquist, C.; Hashimoto, S.; Schoolenberg, M.","Transformative scenarios for biodiversity conservation and sustainability","","","","","","","2020","2023-10-06 06:17:40","2023-10-06 06:17:40","","","","","","","","","","","","","","","en","","","","","","","Citation Key: lundquist2020a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GAHZZ9A","journalArticle","2021","Massarella, K.; Nygren, A.; Fletcher, R.; Büscher, B.; Kiwango, W.A.; Komi, S.; Percequillo, A.R.","Transformation beyond conservation: how critical social science can contribute to a radical new agenda in biodiversity conservation","Current Opinion in Environmental Sustainability","","","10.1016/j.cosust.2021.03.005","","","2021","2023-10-06 06:17:40","2023-10-06 06:17:44","","79–87","","","49","","","","","","","","","","en","","","","","","","Citation Key: massarella2021a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/P9B4VC9C/Massarella et al. - 2021 - Transformation beyond conservation how critical s.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJIAG49P","thesis","2023","Naito, R.","Messaging for wildlife conservation: leveraging attitudes, intentions, and actions for transformative change","","","","","","","2023","2023-10-06 06:17:40","2023-10-06 06:17:40","","","","","","","","","","","","","University of British Columbia","","en","","(doctoral dissertation,","","","","","Citation Key: naito2023a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S55AGU7C","book","2021","Nishi, M.; Subramanian, S.M.; Gupta, H.; Yoshino, M.; Takahashi, Y.; Miwa, K.; Takeda, T.","Fostering transformative change for sustainability in the context of socio-ecological production landscapes and seascapes (SEPLS","","","","","","","2021","2023-10-06 06:17:40","2023-10-06 06:17:40","","","","","","","","","","","","","Springer Nature","","en","","","","","","","Citation Key: nishi2021a Pages: 249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JMA5UVMF","journalArticle","2023","Pascual, U.; Balvanera, P.; Christie, M.","Editorial overview: Leveraging the multiple values of nature for transformative change to just and sustainable futures—Insights from the IPBES Values Assessment","Current Opinion in Environmental Sustainability","","","10.1016/j.cosust.2023.101359","","","2023","2023-10-06 06:17:40","2023-10-06 06:17:43","","101359","","","64","","","","","","","","","","en","","","","","","","Citation Key: pascual2023a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RES4NDNR","journalArticle","2019","Pereira, L.; Sitas, N.; Ravera, F.; Jimenez-Aceituno, A.; Merrie, A.","Building capacities for transformative change towards sustainability: imagination in intergovernmental science-policy scenario processes","Elem Sci Anth","","","10.1525/elementa.374","","","2019","2023-10-06 06:17:40","2023-10-06 06:17:44","","35","","","7","","","","","","","","","","en","","","","","","","Citation Key: pereira2019a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/BPBDG83B/Pereira et al. - 2019 - Building capacities for transformative change towa.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LT72KVN3","journalArticle","2023","Dijk, J.; Young, J.; Vandewalle, M.; Watt, A.; Locher, K.","Transformative change for biodiversity requires more inclusive and participatory framing of research agendas","Biodiversity and Conservation","","","10.1007/s10531-023-02670-3","","","2023","2023-10-06 06:17:40","2023-10-06 06:17:44","","3669–3679","","11","32","","","","","","","","","","en","","","","","","","Citation Key: dijk2023a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/QTPUTFFU/Dijk et al. - 2023 - Transformative change for biodiversity requires mo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SBTV3TK9","journalArticle","2020","Wyborn, C.; Davila, F.; Pereira, L.; Lim, M.; Alvarez, I.; Henderson, G.; Woods, E.","Imagining transformative biodiversity futures","Nature Sustainability","","","10.1038/s41893-020-0587-5","","","2020","2023-10-06 06:17:40","2023-10-06 06:17:44","","670–672","","9","3","","","","","","","","","","en","","","","","","","Citation Key: wyborn2020a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/CYKJV6I5/Wyborn et al. - 2020 - Imagining transformative biodiversity futures.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y8SAMQIC","journalArticle","2021","Wyborn, C.; Montana, J.; Kalas, N.; Clement, S.; Davila, F.; Knowles, N.; Ryan, M.","An agenda for research and action toward diverse and just futures for life on Earth","Conservation Biology","","","10.1111/cobi.13671","","","2021","2023-10-06 06:17:40","2023-10-06 06:17:45","","1086–1097","","4","35","","","","","","","","","","en","","","","","","","Citation Key: wyborn2021a","","/Users/rainerkrug/Zotero TfC Ch 2/storage/E4R3BHM9/Wyborn et al. - 2021 - An agenda for research and action toward diverse a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YIRTU3GW","journalArticle","2022","Fougères, Dorian; Jones, Mike; McElwee, Pamela D.; Andrade, Angela; Edwards, Stephen R.","Transformative Conservation of Ecosystems","Global Sustainability","","2059-4798","10.1017/sus.2022.4","https://www.cambridge.org/core/product/identifier/S2059479822000047/type/journal_article","","2022-03-04","2023-10-06 06:20:29","2023-10-06 06:20:29","2023-10-06 06:20:29","1-27","","","","","Glob. Sustain.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/8L878AYM/Fougères et al. - 2022 - Transformative Conservation of Ecosystems.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMBITVYU","journalArticle","2022","O'Connell, Mark; Carter, Marianne","Capacity development for conservation","Oryx","","0030-6053, 1365-3008","10.1017/S0030605322000941","https://www.cambridge.org/core/product/identifier/S0030605322000941/type/journal_article","","2022-09","2023-10-06 06:22:20","2023-10-06 06:22:20","2023-10-06 06:22:20","641-642","","5","56","","Oryx","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/BYCIY4IC/O'Connell and Carter - 2022 - Capacity development for conservation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6HYQVNT4","journalArticle","2023","Panwar, Rajat","Business and biodiversity: achieving the 2050 vision for biodiversity conservation through transformative business practices","Biodiversity and Conservation","","0960-3115, 1572-9710","10.1007/s10531-023-02575-1","https://link.springer.com/10.1007/s10531-023-02575-1","","2023-09","2023-10-06 06:22:52","2023-10-06 06:22:52","2023-10-06 06:22:52","3607-3613","","11","32","","Biodivers Conserv","Business and biodiversity","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B24Z7KQS","journalArticle","2022","Leadley, Paul; Gonzalez, Andrew; Obura, David; Krug, Cornelia B.; Londoño-Murcia, Maria Cecilia; Millette, Katie L.; Radulovici, Adriana; Rankovic, Aleksandar; Shannon, Lynne J.; Archer, Emma; Armah, Frederick Ato; Bax, Nic; Chaudhari, Kalpana; Costello, Mark John; Dávalos, Liliana M.; Roque, Fabio De Oliveira; DeClerck, Fabrice; Dee, Laura E.; Essl, Franz; Ferrier, Simon; Genovesi, Piero; Guariguata, Manuel R.; Hashimoto, Shizuka; Ifejika Speranza, Chinwe; Isbell, Forest; Kok, Marcel; Lavery, Shane D.; Leclère, David; Loyola, Rafael; Lwasa, Shuaib; McGeoch, Melodie; Mori, Akira S.; Nicholson, Emily; Ochoa, Jose M.; Öllerer, Kinga; Polasky, Stephen; Rondinini, Carlo; Schroer, Sibylle; Selomane, Odirilwe; Shen, Xiaoli; Strassburg, Bernardo; Sumaila, Ussif Rashid; Tittensor, Derek P.; Turak, Eren; Urbina, Luis; Vallejos, Maria; Vázquez-Domínguez, Ella; Verburg, Peter H.; Visconti, Piero; Woodley, Stephen; Xu, Jianchu","Achieving global biodiversity goals by 2050 requires urgent and integrated actions","One Earth","","25903322","10.1016/j.oneear.2022.05.009","https://linkinghub.elsevier.com/retrieve/pii/S2590332222002640","","2022-06","2023-10-06 06:23:37","2023-10-06 06:23:37","2023-10-06 06:23:37","597-603","","6","5","","One Earth","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/JRN4Z6QE/Leadley et al. - 2022 - Achieving global biodiversity goals by 2050 requir.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VSU8NWEM","journalArticle","2021","Bjorkland, Rhema; Bjorkland, Ronald","Reversing global biodiversity declines:Mainstreaming biodiversity conservation intodecision-making at national and local scales","MIT Science Policy Review","","","10.38105/spr.c3vlezkmiz","https://sciencepolicyreview.org/2021/08/mainstreaming-biodiversity-conservation/","The rapid and unprecedented global loss of biodiversity threatens the wide-ranging goods and services that nature provides, endangers human institutions, and portends future scenarios of human-nature relationships that differ significantly from what humans have experienced historically. While numerous national and international responses have been put in place to stem this loss, none have succeeded in significantly reducing its rate. Reasons for these failures are not uniform, but some key identified features include inadequate funding and logistical support, structural weaknesses in targeted actions, and the socio-political systems that interfere with needed transformative changes. This article provides a brief historical background to global-level biodiversity conservation efforts and suggests pathways needed to move forward if the proposed vision of “Living in Harmony with Nature” by 2050 is to be realized. Framing socio-economic and cultural development within the dual crises of biodiversity loss and climate change, and not the other way around, represents the most likely path to success. This effort will require strong actions from communities and institutions, from local to global, to end the disconnect between global targets, national commitments, and local actions; reformed mechanisms for funding and other support; and radically improved strategies to galvanize both political will and public support through improved communication.","2021-08-30","2023-10-06 06:24:25","2023-10-06 06:24:25","2023-10-06 06:24:25","31-39","","","","","","Reversing global biodiversity declines","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/rainerkrug/Zotero TfC Ch 2/storage/K7PCTY34/Bjorkland and Bjorkland - 2021 - Reversing global biodiversity declinesMainstreami.pdf","","","","Omura, Paige; Knappe, Grant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
